protein_id	level	budget	component_id	length_stratum	candidate_rows	candidate_labels	matching_candidate	raw_top_rows	raw_top_labels	calibrated_top_rows	calibrated_top_labels	raw_levels_in_calibrated_top	top_set_expanded	raw_winner_row	calibrated_winner_row	raw_winner_label	calibrated_winner_label	winner_row_changed	winner_label_changed	raw_concordant	calibrated_concordant	raw_only_concordant	calibrated_only_concordant	calibrated_tie_loss	raw_tie_loss	monotonicity_violations
A0A2H5BHJ6	EC_L3	25	154	LE_1022	49	22	1	1	1	1	1	1	0	7018	7018	6.3.4	6.3.4	0	0	1	1	0	0	0	0	0
A0A2H5BHJ6	EC_L3	50	154	LE_1022	87	36	1	2	1	3	1	2	1	7064	7000	5.6.2	5.6.2	1	0	0	0	0	0	0	0	0
A0A2H5BHJ6	EC_L3	ALL	154	LE_1022	139	55	1	2	1	3	1	2	1	7064	7000	5.6.2	5.6.2	1	0	0	0	0	0	0	0	0
A0A2H5BHJ6	EC_L4	10	154	LE_1022	12	10	0	1	1	1	1	1	0	7018	7018	6.3.4.4	6.3.4.4	0	0	0	0	0	0	0	0	0
A0A2H5BHJ6	EC_L4	25	154	LE_1022	49	27	0	1	1	1	1	1	0	7018	7018	6.3.4.4	6.3.4.4	0	0	0	0	0	0	0	0	0
A0A2H5BHJ6	EC_L4	50	154	LE_1022	87	52	0	1	1	1	1	1	0	7000	7000	5.6.2.4	5.6.2.4	0	0	0	0	0	0	0	0	0
A0A2H5BHJ6	EC_L4	ALL	154	LE_1022	139	93	0	1	1	1	1	1	0	7000	7000	5.6.2.4	5.6.2.4	0	0	0	0	0	0	0	0	0
A0A327	EC_L3	10	185	GT_1022	10	1	1	1	1	2	1	2	1	7891	7891	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0A327	EC_L3	25	185	GT_1022	27	10	1	1	1	2	1	2	1	7891	7891	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0A327	EC_L3	50	185	GT_1022	71	26	1	1	1	2	1	2	1	7891	7891	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0A327	EC_L3	ALL	185	GT_1022	279	73	1	1	1	2	1	2	1	7891	7891	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0A327	EC_L4	10	185	GT_1022	10	1	1	1	1	1	1	1	0	7858	7858	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0A327	EC_L4	25	185	GT_1022	27	11	1	1	1	1	1	1	0	7858	7858	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0A327	EC_L4	50	185	GT_1022	71	36	1	1	1	1	1	1	0	7858	7858	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0A327	EC_L4	ALL	185	GT_1022	279	154	1	1	1	1	1	1	0	7858	7858	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0A385AJM6	EC_L3	10	4551	LE_1022	19	5	1	1	1	4	2	4	1	8428	8427	2.5.1	2.5.1	1	0	0	0	0	0	1	0	0
A0A385AJM6	EC_L3	25	4551	LE_1022	46	13	1	1	1	6	2	6	1	8636	8427	4.2.3	2.5.1	1	1	1	0	1	0	1	0	0
A0A385AJM6	EC_L3	50	4551	LE_1022	82	19	1	1	1	1	1	1	0	8586	8586	2.5.1	2.5.1	0	0	0	0	0	0	0	0	0
A0A385AJM6	EC_L3	ALL	4551	LE_1022	237	57	1	1	1	1	1	1	0	8586	8586	2.5.1	2.5.1	0	0	0	0	0	0	0	0	0
A0A385AJM6	EC_L4	10	4551	LE_1022	19	18	0	1	1	1	1	1	0	8566	8566	4.2.3.160	4.2.3.160	0	0	0	0	0	0	0	0	0
A0A385AJM6	EC_L4	25	4551	LE_1022	46	41	0	1	1	3	3	3	1	8636	8566	4.2.3.75	4.2.3.160	1	1	0	0	0	0	0	0	0
A0A385AJM6	EC_L4	50	4551	LE_1022	82	61	0	1	1	3	3	3	1	8636	8566	4.2.3.75	4.2.3.160	1	1	0	0	0	0	0	0	0
A0A385AJM6	EC_L4	ALL	4551	LE_1022	237	139	0	1	1	3	3	3	1	8636	8566	4.2.3.75	4.2.3.160	1	1	0	0	0	0	0	0	0
A0A7U3TBV6	EC_L3	10	154	LE_1022	23	11	1	1	1	1	1	1	0	11825	11825	2.7.1	2.7.1	0	0	0	0	0	0	0	0	0
A0A7U3TBV6	EC_L3	25	154	LE_1022	44	23	1	1	1	1	1	1	0	11825	11825	2.7.1	2.7.1	0	0	0	0	0	0	0	0	0
A0A7U3TBV6	EC_L3	50	154	LE_1022	80	39	1	1	1	2	2	2	1	11825	11756	2.7.1	2.8.2	1	1	0	0	0	0	0	0	0
A0A7U3TBV6	EC_L3	ALL	154	LE_1022	128	53	1	1	1	2	2	2	1	11825	11756	2.7.1	2.8.2	1	1	0	0	0	0	0	0	0
A0A7U3TBV6	EC_L4	10	154	LE_1022	23	12	0	1	1	1	1	1	0	11825	11825	2.7.1.33	2.7.1.33	0	0	0	0	0	0	0	0	0
A0A7U3TBV6	EC_L4	25	154	LE_1022	44	30	0	1	1	1	1	1	0	11752	11752	2.7.7.48	2.7.7.48	0	0	0	0	0	0	0	0	0
A0A7U3TBV6	EC_L4	50	154	LE_1022	80	58	0	1	1	1	1	1	0	11844	11844	2.3.2.27	2.3.2.27	0	0	0	0	0	0	0	0	0
A0A7U3TBV6	EC_L4	ALL	154	LE_1022	128	91	0	1	1	2	2	2	1	11759	11759	2.7.7.48	2.7.7.48	0	0	0	0	0	0	0	0	0
A0AF63	EC_L3	10	185	GT_1022	10	2	1	1	1	2	1	2	1	13975	13959	2.7.7	2.7.7	1	0	1	1	0	0	0	0	0
A0AF63	EC_L3	25	185	GT_1022	28	12	1	1	1	2	1	2	1	13975	13959	2.7.7	2.7.7	1	0	1	1	0	0	0	0	0
A0AF63	EC_L3	50	185	GT_1022	72	27	1	1	1	2	1	2	1	13975	13959	2.7.7	2.7.7	1	0	1	1	0	0	0	0	0
A0AF63	EC_L3	ALL	185	GT_1022	160	55	1	1	1	2	1	2	1	13975	13959	2.7.7	2.7.7	1	0	1	1	0	0	0	0	0
A0AF63	EC_L4	10	185	GT_1022	10	2	1	1	1	1	1	1	0	13963	13963	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0AF63	EC_L4	25	185	GT_1022	28	13	1	1	1	1	1	1	0	13963	13963	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0AF63	EC_L4	50	185	GT_1022	72	36	1	1	1	1	1	1	0	13963	13963	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0AF63	EC_L4	ALL	185	GT_1022	160	102	1	1	1	1	1	1	0	13963	13963	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0JZ93	EC_L3	10	185	GT_1022	10	2	1	1	1	1	1	1	0	22671	22671	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0JZ93	EC_L3	25	185	GT_1022	26	8	1	1	1	1	1	1	0	22671	22671	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0JZ93	EC_L3	50	185	GT_1022	59	28	1	1	1	1	1	1	0	22671	22671	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0JZ93	EC_L3	ALL	185	GT_1022	292	86	1	1	1	1	1	1	0	22671	22671	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0JZ93	EC_L4	10	185	GT_1022	10	2	1	1	1	1	1	1	0	22651	22651	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0JZ93	EC_L4	25	185	GT_1022	26	11	1	1	1	1	1	1	0	22651	22651	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0JZ93	EC_L4	50	185	GT_1022	59	33	1	1	1	1	1	1	0	22651	22651	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0JZ93	EC_L4	ALL	185	GT_1022	292	180	1	1	1	1	1	1	0	22651	22651	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0K3L7	EC_L3	10	185	GT_1022	10	1	1	1	1	1	1	1	0	23040	23040	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0K3L7	EC_L3	25	185	GT_1022	30	12	1	1	1	1	1	1	0	23040	23040	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0K3L7	EC_L3	50	185	GT_1022	64	30	1	1	1	1	1	1	0	23040	23040	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0K3L7	EC_L3	ALL	185	GT_1022	137	52	1	1	1	1	1	1	0	23040	23040	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0K3L7	EC_L4	10	185	GT_1022	10	1	1	1	1	3	1	3	1	23043	22940	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0K3L7	EC_L4	25	185	GT_1022	30	12	1	1	1	3	1	3	1	23043	22940	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0K3L7	EC_L4	50	185	GT_1022	64	31	1	1	1	3	1	3	1	23043	22940	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0K3L7	EC_L4	ALL	185	GT_1022	137	91	1	1	1	3	1	3	1	23043	22940	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0KQA5	EC_L3	10	185	GT_1022	10	1	1	1	1	1	1	1	0	31286	31286	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0KQA5	EC_L3	25	185	GT_1022	29	10	1	1	1	1	1	1	0	31286	31286	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0KQA5	EC_L3	50	185	GT_1022	66	26	1	1	1	1	1	1	0	31286	31286	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0KQA5	EC_L3	ALL	185	GT_1022	164	53	1	1	1	1	1	1	0	31286	31286	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0KQA5	EC_L4	10	185	GT_1022	10	1	1	1	1	1	1	1	0	31287	31287	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0KQA5	EC_L4	25	185	GT_1022	29	12	1	1	1	1	1	1	0	31287	31287	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0KQA5	EC_L4	50	185	GT_1022	66	38	1	1	1	1	1	1	0	31287	31287	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0KQA5	EC_L4	ALL	185	GT_1022	164	105	1	1	1	1	1	1	0	31287	31287	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0KRL7	EC_L3	10	185	GT_1022	10	1	1	1	1	1	1	1	0	32289	32289	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0KRL7	EC_L3	25	185	GT_1022	32	10	1	1	1	1	1	1	0	32289	32289	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0KRL7	EC_L3	50	185	GT_1022	66	24	1	1	1	1	1	1	0	32289	32289	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0KRL7	EC_L3	ALL	185	GT_1022	164	52	1	1	1	1	1	1	0	32289	32289	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0KRL7	EC_L4	10	185	GT_1022	10	1	1	1	1	2	1	2	1	32291	32182	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0KRL7	EC_L4	25	185	GT_1022	32	14	1	1	1	2	1	2	1	32291	32182	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0KRL7	EC_L4	50	185	GT_1022	66	36	1	1	1	2	1	2	1	32291	32182	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0KRL7	EC_L4	ALL	185	GT_1022	164	105	1	1	1	2	1	2	1	32291	32182	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0L5V8	EC_L3	10	716	LE_1022	12	6	1	1	1	1	1	1	0	37884	37884	3.6.5	3.6.5	0	0	1	1	0	0	0	0	0
A0L5V8	EC_L3	25	716	LE_1022	31	19	1	1	1	1	1	1	0	37884	37884	3.6.5	3.6.5	0	0	1	1	0	0	0	0	0
A0L5V8	EC_L3	50	716	LE_1022	66	30	1	1	1	1	1	1	0	37884	37884	3.6.5	3.6.5	0	0	1	1	0	0	0	0	0
A0L5V8	EC_L3	ALL	716	LE_1022	96	41	1	1	1	1	1	1	0	37884	37884	3.6.5	3.6.5	0	0	1	1	0	0	0	0	0
A0L5V8	EC_L4	10	716	LE_1022	12	8	1	1	1	2	2	2	1	37884	37884	3.6.5.n1	3.6.5.n1	0	0	0	0	0	0	1	0	0
A0L5V8	EC_L4	25	716	LE_1022	31	26	1	1	1	2	2	2	1	37884	37884	3.6.5.n1	3.6.5.n1	0	0	0	0	0	0	1	0	0
A0L5V8	EC_L4	50	716	LE_1022	66	55	1	1	1	2	2	2	1	37884	37884	3.6.5.n1	3.6.5.n1	0	0	0	0	0	0	1	0	0
A0L5V8	EC_L4	ALL	716	LE_1022	96	77	1	1	1	2	2	2	1	37884	37884	3.6.5.n1	3.6.5.n1	0	0	0	0	0	0	1	0	0
A0L5W6	EC_L3	10	185	GT_1022	10	1	1	1	1	1	1	1	0	38064	38064	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0L5W6	EC_L3	25	185	GT_1022	29	12	1	1	1	1	1	1	0	38064	38064	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0L5W6	EC_L3	50	185	GT_1022	69	27	1	1	1	1	1	1	0	38064	38064	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0L5W6	EC_L3	ALL	185	GT_1022	146	54	1	1	1	1	1	1	0	38064	38064	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0L5W6	EC_L4	10	185	GT_1022	10	1	1	1	1	1	1	1	0	38067	38067	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0L5W6	EC_L4	25	185	GT_1022	29	14	1	1	1	2	1	2	1	38067	37974	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0L5W6	EC_L4	50	185	GT_1022	69	46	1	1	1	2	1	2	1	38067	37974	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0L5W6	EC_L4	ALL	185	GT_1022	146	104	1	1	1	2	1	2	1	38067	37974	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0LII4	EC_L3	10	185	GT_1022	10	1	1	1	1	1	1	1	0	43265	43265	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0LII4	EC_L3	25	185	GT_1022	27	13	1	1	1	1	1	1	0	43265	43265	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0LII4	EC_L3	50	185	GT_1022	56	28	1	1	1	1	1	1	0	43265	43265	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0LII4	EC_L3	ALL	185	GT_1022	131	51	1	1	1	1	1	1	0	43265	43265	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0LII4	EC_L4	10	185	GT_1022	10	1	1	1	1	3	1	3	1	43270	43191	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0LII4	EC_L4	25	185	GT_1022	27	15	1	1	1	3	1	3	1	43270	43191	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0LII4	EC_L4	50	185	GT_1022	56	37	1	1	1	3	1	3	1	43270	43191	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0LII4	EC_L4	ALL	185	GT_1022	131	83	1	1	1	3	1	3	1	43270	43191	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0LRL3	EC_L3	10	185	GT_1022	10	1	1	1	1	1	1	1	0	45417	45417	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0LRL3	EC_L3	25	185	GT_1022	29	10	1	1	1	1	1	1	0	45417	45417	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0LRL3	EC_L3	50	185	GT_1022	62	27	1	1	1	1	1	1	0	45417	45417	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0LRL3	EC_L3	ALL	185	GT_1022	284	80	1	1	1	1	1	1	0	45417	45417	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0LRL3	EC_L4	10	185	GT_1022	10	1	1	1	1	3	1	3	1	45414	45379	2.7.7.6	2.7.7.6	1	0	1	1	0	0	0	0	0
A0LRL3	EC_L4	25	185	GT_1022	29	11	1	1	1	6	1	6	1	45301	45301	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0LRL3	EC_L4	50	185	GT_1022	62	34	1	1	1	6	1	6	1	45301	45301	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0LRL3	EC_L4	ALL	185	GT_1022	284	180	1	1	1	6	1	6	1	45301	45301	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0M3Y9	EC_L3	10	185	GT_1022	10	2	1	1	1	1	1	1	0	50336	50336	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0M3Y9	EC_L3	25	185	GT_1022	30	13	1	1	1	1	1	1	0	50336	50336	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0M3Y9	EC_L3	50	185	GT_1022	76	24	1	1	1	1	1	1	0	50336	50336	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0M3Y9	EC_L3	ALL	185	GT_1022	274	77	1	1	1	1	1	1	0	50336	50336	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0M3Y9	EC_L4	10	185	GT_1022	10	2	1	1	1	2	1	2	1	50321	50321	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0M3Y9	EC_L4	25	185	GT_1022	30	18	1	1	1	2	1	2	1	50321	50321	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0M3Y9	EC_L4	50	185	GT_1022	76	41	1	1	1	2	1	2	1	50321	50321	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0M3Y9	EC_L4	ALL	185	GT_1022	274	158	1	1	1	2	1	2	1	50321	50321	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0PM24	EC_L3	10	185	GT_1022	10	2	1	1	1	1	1	1	0	52454	52454	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0PM24	EC_L3	25	185	GT_1022	27	9	1	1	1	1	1	1	0	52454	52454	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0PM24	EC_L3	50	185	GT_1022	57	27	1	1	1	1	1	1	0	52454	52454	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0PM24	EC_L3	ALL	185	GT_1022	258	88	1	1	1	1	1	1	0	52454	52454	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0PM24	EC_L4	10	185	GT_1022	10	2	1	1	1	3	1	3	1	52306	52306	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0PM24	EC_L4	25	185	GT_1022	27	9	1	1	1	3	1	3	1	52306	52306	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0PM24	EC_L4	50	185	GT_1022	57	31	1	1	1	3	1	3	1	52306	52306	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0PM24	EC_L4	ALL	185	GT_1022	258	154	1	1	1	3	1	3	1	52306	52306	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0PXT8	EC_L3	10	185	GT_1022	10	2	1	1	1	1	1	1	0	57299	57299	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0PXT8	EC_L3	25	185	GT_1022	28	9	1	1	1	1	1	1	0	57299	57299	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0PXT8	EC_L3	50	185	GT_1022	56	25	1	1	1	1	1	1	0	57299	57299	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0PXT8	EC_L3	ALL	185	GT_1022	151	59	1	1	1	1	1	1	0	57299	57299	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0PXT8	EC_L4	10	185	GT_1022	10	2	1	1	1	1	1	1	0	57235	57235	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0PXT8	EC_L4	25	185	GT_1022	28	11	1	1	1	1	1	1	0	57235	57235	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0PXT8	EC_L4	50	185	GT_1022	56	30	1	1	1	1	1	1	0	57235	57235	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0PXT8	EC_L4	ALL	185	GT_1022	151	100	1	1	1	1	1	1	0	57235	57235	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0Q867	EC_L3	10	185	GT_1022	10	1	1	1	1	1	1	1	0	64041	64041	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0Q867	EC_L3	25	185	GT_1022	32	9	1	1	1	1	1	1	0	64041	64041	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0Q867	EC_L3	50	185	GT_1022	63	29	1	1	1	1	1	1	0	64041	64041	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0Q867	EC_L3	ALL	185	GT_1022	125	55	1	1	1	1	1	1	0	64041	64041	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0Q867	EC_L4	10	185	GT_1022	10	1	1	1	1	2	1	2	1	64016	64016	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0Q867	EC_L4	25	185	GT_1022	32	14	1	1	1	2	1	2	1	64016	64016	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0Q867	EC_L4	50	185	GT_1022	63	40	1	1	1	2	1	2	1	64016	64016	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0Q867	EC_L4	ALL	185	GT_1022	125	93	1	1	1	2	1	2	1	64016	64016	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0QL49	EC_L3	10	185	GT_1022	10	1	1	1	1	1	1	1	0	67325	67325	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0QL49	EC_L3	25	185	GT_1022	26	8	1	1	1	1	1	1	0	67325	67325	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0QL49	EC_L3	50	185	GT_1022	57	26	1	1	1	1	1	1	0	67325	67325	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0QL49	EC_L3	ALL	185	GT_1022	271	85	1	1	1	1	1	1	0	67325	67325	2.7.7	2.7.7	0	0	1	1	0	0	0	0	0
A0QL49	EC_L4	10	185	GT_1022	10	1	1	1	1	4	1	4	1	67166	67166	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0QL49	EC_L4	25	185	GT_1022	26	9	1	1	1	4	1	4	1	67166	67166	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0QL49	EC_L4	50	185	GT_1022	57	32	1	1	1	4	1	4	1	67166	67166	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0QL49	EC_L4	ALL	185	GT_1022	271	164	1	1	1	4	1	4	1	67166	67166	2.7.7.6	2.7.7.6	0	0	1	1	0	0	0	0	0
A0R8H2	EC_L3	10	185	GT_1022	10	1	1	1	1	2	1	2	1	73871	73821	2.7.7	2.7.7	1	0	1	1	0	0	0	0	0
