match_id	high_pair_set	high_query_protein_id	high_reference_protein_id	high_reference_activity_id	low_query_protein_id	low_reference_protein_id	low_reference_activity_id	high_local_score	low_local_score	high_global_propensity	low_global_propensity	sequence_identity_gap	esm2_similarity_gap	high_EC_L3	low_EC_L3	high_EC_L4	low_EC_L4	high_EXACT_RHEA	low_EXACT_RHEA
11	population	Q1MRF1	Q8E372	Q8E372::RAW::RHEA:31647::1	B1JQF1	B4XC07	B4XC07::RAW::3.2.1.78::1	0.8444690853357315	0.42996227235222856	0.0861198072289538	0.06746940100776591	0.11299999058246613	0.03335541486740112	0	0	0	0	0	0
12	population	Q2J542	P35475	P35475::RAW::3.2.1.76::1	Q1CFD5	B4XC07	B4XC07::RAW::3.2.1.78::1	0.8983139172196388	0.429958030488342	0.09245544607943132	0.06747044815396275	0.06099998950958252	0.01914083957672119	0	0	0	0	0	0
13	population	A9L5L1	P08839	P08839::RAW::RHEA-COMP:9745::1	Q1CAP6	B4XC07	B4XC07::RAW::3.2.1.78::1	0.8848757714860969	0.4299576231899361	0.10782047919243179	0.0674739230097049	0.11999998986721039	0.034690141677856445	0	0	0	0	0	0
14	population	A4JEN9	Q56F26	Q56F26::RAW::3.2.1.165::1	B5RMR3	P06279	P06279::RAW::3.2.1.1::1	0.8278020180407025	0.4888239208274544	0.11182821956649625	0.06784354628144462	0.10099998116493225	0.04358208179473877	0	0	0	0	0	0
15	population	A8AU84	Q97LU2	Q97LU2::RAW::RHEA:18177::1	Q3IX60	Q8I2X3	Q8I2X3::RAW::RHEA:15017::1	0.8898303708327668	0.4322388544678688	0.11840098645960807	0.06836510450991931	0.023000001907348633	0.011951029300689697	0	1	0	0	0	0
16	population	P96010	P47934	P47934::RAW::RHEA:21136::1	A8G737	P0AE18	P0AE18::RAW::3.4.11.18::1	0.9250681487222513	0.4693122592346828	0.11955802665356563	0.07126965694932844	0.013999998569488525	0.02265036106109619	0	0	0	0	0	0
17	population	A1WRC4	Q50925	Q50925::RAW::RHEA-COMP:10350::1	Q5M607	P52700	P52700::RAW::RHEA:20401::1	0.8846091309514565	0.4834749909731395	0.1266786009294193	0.07507115766457124	0.08399999141693115	0.008433759212493896	0	0	0	0	0	0
18	population	Q989T9	Q9RBY6	Q9RBY6::RAW::RHEA-COMP:15908::1	Q4JCK7	P9WPJ9	P9WPJ9::RAW::RHEA:10748::1	0.9115675418149858	0.445808571166335	0.12859445809306214	0.076074592736334	0.020999997854232788	0.053302109241485596	0	0	0	0	0	0
19	population	Q2GB76	P37821	P37821::RAW::RHEA:21744::1	P74984	P80561	P80561::RAW::3.4.11.24::1	0.8692695878897653	0.4547288952883155	0.13076212492292585	0.07607964147911027	0.0559999942779541	0.021821975708007812	0	0	0	0	0	0
20	population	A1KIP0	P00736	P00736::RAW::3.4.21.41::1	Q1CKY1	H2IFX0	H2IFX0::RAW::RHEA:21512::1	0.8950051895032326	0.3747495387270603	0.1327924880774534	0.07627236090427295	0.13899999856948853	0.06761032342910767	0	0	0	0	0	0
21	population	C0PZZ5	Q5SK67	Q5SK67::RAW::RHEA:24296::1	P28018	Q6PQK2	Q6PQK2::RAW::RHEA:31367::1	0.8966031384964784	0.38482752305765944	0.13366122985123152	0.07725070310637554	0.10099999606609344	0.03611189126968384	0	0	0	0	0	0
22	population	B5RCJ3	Q5SK67	Q5SK67::RAW::RHEA:24296::1	C0QZT8	P00388	P00388::RAW::RHEA-COMP:14627::1	0.8944182855387529	0.49343332493056846	0.1336637347237166	0.07735069531399304	0.03299999237060547	0.07098489999771118	0	0	0	0	0	0
23	population	B5R349	Q5SK67	Q5SK67::RAW::RHEA:24296::1	Q9I8W8	Q92820	Q92820::RAW::RHEA-COMP:14738::1	0.89442336683472	0.38862106374775374	0.13366390342063733	0.07822116670459273	0.08300000429153442	0.07743406295776367	0	0	0	0	0	0
24	population	Q9TQS6	Q9I4V0	Q9I4V0::RAW::RHEA:46160::1	Q9L278	P09148	P09148::RAW::RHEA:13989::1	0.8985469152625555	0.44660626465366005	0.13567219396368876	0.07917370877543665	0.004999995231628418	0.07430732250213623	0	0	0	0	0	0
25	population	C0P9J6	P80884	P80884::RAW::3.4.22.31::1	Q7VP68	Q8N335	Q8N335::RAW::RHEA:11092::1	0.8716307878494263	0.3787422342846791	0.14371162990167996	0.0795966170710062	0.07000000774860382	0.025069773197174072	0	0	0	0	0	0
26	population	Q5WB48	P37821	P37821::RAW::RHEA:21744::1	Q88J04	B5CY96	B5CY96::RAW::3.2.1.178::1	0.891254206498464	0.4466134065337348	0.1483374910256953	0.08608978855149373	0.04100000858306885	0.06780189275741577	0	0	0	0	0	0
27	population	A3PRW1	P29808	P29808::RAW::RHEA:12665::1	B8H8L8	Q9WTK8	Q9WTK8::RAW::5.6.2.2::1	0.8482791238631575	0.38027669563889505	0.03952065787178961	0.06363289312187882	0.07700000703334808	0.003961682319641113	0	0	0	0	0	0
28	population	C3LTP7	A0A0I9QGZ2	A0A0I9QGZ2::RAW::RHEA:10508::1	B2GHT7	A0A0U2UYC4	A0A0U2UYC4::RAW::RHEA:57728::1	0.8975118019928535	0.35777439996600147	0.11713762769909741	0.07235291126570863	0.06100000441074371	0.021240293979644775	0	0	0	0	0	0
29	population	Q1I3W5	P30694	P30694::RAW::RHEA:28370::1	B4EF28	P16688	P16688::RAW::RHEA:34707::1	0.9250870726647832	0.4283260107040405	0.1367064911993617	0.11071118236628848	0.015000000596046448	0.11208939552307129	0	0	0	0	0	0
30	population	Q5BH52	Q9C5Q8	Q9C5Q8::RAW::RHEA-COMP:10415::1	Q93KF4	O85465	O85465::RAW::3.2.1.4::1	0.8214474286884069	0.49489472135901447	0.1508810431578497	0.14963115930541732	0.005000025033950806	0.026490390300750732	1	0	0	0	0	0
31	population	Q46939	Q99J99	Q99J99::RAW::RHEA-COMP:10698::1	B3R678	P80561	P80561::RAW::3.4.11.24::1	0.9170841831056511	0.47006528861155467	0.16127856888666597	0.14994325894390811	0.014999985694885254	0.07350313663482666	0	0	0	0	0	0
32	population	A5W696	P9WNV3	P9WNV3::RAW::6.5.1.1::1	P16171	P0C0F4	P0C0F4::RAW::RHEA:23596::1	0.8841992492477099	0.4928799924464562	0.1638001499599319	0.1502877561844562	0.030000001192092896	0.012762069702148438	0	0	0	0	0	0
33	population	Q5Z1D1	Q9AFC7	Q9AFC7::RAW::RHEA:39891::1	B1KEI0	O67883	O67883::RAW::RHEA:15913::1	0.8769312447143925	0.45825634755316996	0.16707821045179122	0.15325879402796788	0.015000000596046448	0.03769338130950928	0	0	0	0	0	0
34	population	Q31QC4	P25503	P25503::RAW::RHEA:13101::1	Q8YJP3	P05364	P05364::RAW::RHEA:20401::1	0.8897476951281229	0.3355064557766331	0.17380248875488544	0.15379783683622797	0.125	0.03930705785751343	0	0	0	0	0	0
35	population	M1W5Z7	B9JQV3	B9JQV3::RAW::RHEA:21152::1	Q8FY57	P05364	P05364::RAW::RHEA:20401::1	0.9126711817724364	0.33548037874454384	0.1754810188788817	0.15379794025273863	0.06700000166893005	0.03445476293563843	0	0	0	0	0	0
36	population	Q7NPZ4	A8IKD2	A8IKD2::RAW::RHEA:70363::1	Q9HGN6	Q9V1J7	Q9V1J7::RAW::RHEA-COMP:9580::1	0.8825336437051495	0.40813917564932534	0.17866037216682362	0.1555713071216587	0.07400000095367432	0.009848833084106445	0	0	0	0	0	0
37	population	B7MVA0	P21514	P21514::RAW::RHEA:24902::1	C0PVG5	P70826	P70826::RAW::RHEA:13613::1	0.8610384176509122	0.4795995322208292	0.1828276545795084	0.1576923102076334	0.04100000858306885	0.008066177368164062	0	0	0	0	0	0
38	population	A1WVR7	P40581	P40581::RAW::RHEA-COMP:10698::1	B2SKC6	P00343	P00343::RAW::RHEA:23444::1	0.8731225376638273	0.36338740270584824	0.18582087428592628	0.16037737764923404	0.08500000834465027	0.016788005828857422	0	0	0	0	0	0
39	population	B0JI13	Q46389	Q46389::RAW::RHEA-COMP:11110::1	P0DV45	Q46085	Q46085::RAW::3.4.24.3::1	0.8475498072803022	0.40134408922197345	0.18863595396288743	0.1606911039928717	0.06299999356269836	0.02651888132095337	0	0	0	0	0	0
40	population	A2RIT7	P49424	P49424::RAW::3.2.1.78::1	P06715	P22512	P22512::RAW::RHEA:10300::1	0.8912348331262668	0.4770982549836238	0.1935957801930342	0.1680154700969522	0.08100000023841858	0.02333134412765503	0	0	0	0	0	0
41	population	B2SPN6	Q9GK11	Q9GK11::RAW::3.4.23.4::1	B6I3U1	P00736	P00736::RAW::3.4.21.41::1	0.8870255639259187	0.4026317348526347	0.20113122660215763	0.16879903746538172	0.09200000762939453	0.03443276882171631	0	0	0	0	0	0
42	population	A0A0E3T3B5	P80884	P80884::RAW::3.4.22.31::1	A0PRF5	P51555	P51555::RAW::RHEA:10164::1	0.8709262240057191	0.30361900121594465	0.2015105272011236	0.16903534752047641	0.13300001621246338	0.003130495548248291	0	0	0	0	0	0
43	population	Q9CHU9	P49424	P49424::RAW::3.2.1.78::1	Q8IIP1	P37747	P37747::RAW::RHEA:24132::1	0.8911956908802191	0.4902318910296474	0.2057497281094559	0.17044191659611724	0.10999999940395355	0.033979594707489014	0	0	0	0	0	0
44	population	Q8K4D8	Q5JIZ5	Q5JIZ5::RAW::3.4.21.62::1	P51034	P11216	P11216::RAW::RHEA-COMP:9584::1	0.8717589133419097	0.40375685745051926	0.20686998028267517	0.1713879841529345	0.14300000667572021	0.04120767116546631	0	0	0	0	0	0
45	population	Q93Q11	P14384	P14384::RAW::3.4.17.12::1	Q95ND5	P00751	P00751::RAW::3.4.21.47::1	0.9034535333514214	0.4956078025556746	0.2081548461730987	0.17317438192779336	0.10399998724460602	0.08863157033920288	0	0	0	0	0	0
46	population	Q8PP84	Q9GK11	Q9GK11::RAW::3.4.23.4::1	Q5NH64	P51659	P51659::RAW::RHEA:26526::1	0.8868145265797568	0.41955016527133876	0.2094367096956685	0.17406380222646933	0.06800001859664917	0.06106603145599365	0	0	0	0	0	0
47	population	Q9UQ10	P50740	P50740::RAW::RHEA:23284::1	Q6MQS6	Q9UGP5	Q9UGP5::RAW::RHEA-COMP:17339::1	0.866967378432552	0.3313751881095496	0.21181322673859077	0.17607388779012587	0.02699999511241913	0.09133589267730713	0	1	0	1	0	1
48	population	A5F1U8	P45510	P45510::RAW::RHEA:15773::1	Q3AQ17	P09788	P09788::RAW::RHEA-COMP:11034::1	0.8468093369156122	0.371050839977605	0.21380689998451557	0.17740998042992087	0.08100001513957977	0.023144185543060303	0	0	0	0	0	0
49	population	B7M0H9	P21514	P21514::RAW::RHEA:24902::1	A6QHN5	P13009	P13009::RAW::RHEA:11172::1	0.8609925239370803	0.42940055039596925	0.2213664261904417	0.1774600648151409	0.013999983668327332	0.02760225534439087	0	0	0	0	0	0
50	population	Q8UDF7	Q92820	Q92820::RAW::RHEA-COMP:14738::1	Q63QS9	O32085	O32085::RAW::RHEA:20441::1	0.9047265158028774	0.4591505263788769	0.22658430419770156	0.17775455281284422	0.001999989151954651	0.008609414100646973	0	0	0	0	0	0
51	population	Q321N6	P45510	P45510::RAW::RHEA:15773::1	Q68F37	P08246	P08246::RAW::3.4.21.37::1	0.8330542376885811	0.39558145528038346	0.22756139297476796	0.17798284135913903	0.09699998795986176	0.0774240493774414	0	0	0	0	0	0
52	population	O64876	Q70EK9	Q70EK9::RAW::3.4.19.12::1	Q9I104	P74334	P74334::RAW::RHEA:26385::1	0.8784426073782529	0.4838777305713544	0.18610492623617847	0.15960834673617907	0.12399999797344208	0.01393735408782959	0	0	0	0	0	0
53	population	Q9KTA4	A0A0I9QGZ2	A0A0I9QGZ2::RAW::RHEA:10508::1	B4EB34	Q2FXG9	Q2FXG9::RAW::RHEA-COMP:10195::1	0.8975124675780535	0.4421524615495135	0.22381490625548245	0.16619602087553959	0.04200001060962677	0.005293369293212891	0	0	0	0	0	0
54	population	A7H4T6	Q2FXG9	Q2FXG9::RAW::RHEA-COMP:10195::1	Q06650	A0A2U9GGW3	A0A2U9GGW3::RAW::RHEA:56908::1	0.821034548493723	0.38461979317168393	0.22509392631728814	0.17855879686287116	0.05500000715255737	0.047487616539001465	0	0	0	0	0	0
55	population	Q39243	Q48485	Q48485::RAW::RHEA:24132::1	Q21FS8	P0AEC8	P0AEC8::RAW::2.7.13.3::1	0.8994826787680973	0.34910959158019694	0.22950968809748315	0.2282941599604047	0.04100000858306885	0.05427384376525879	0	0	0	0	0	0
56	population	B7IDE2	P50740	P50740::RAW::RHEA:23284::1	Q819E5	P05050	P05050::RAW::RHEA-COMP:12192::1	0.8631180610585337	0.4392253365367651	0.23023911916636092	0.22857557578024412	0.06599999964237213	0.04235410690307617	0	0	0	0	0	0
57	population	B0JI13	Q9V1G0	Q9V1G0::RAW::RHEA:19669::1	B5EX44	O34508	O34508::RAW::RHEA:28394::1	0.8345770667203598	0.3953589600284737	0.23221746078795827	0.2288228183218939	0.10400000214576721	0.030671358108520508	0	0	0	0	0	0
58	population	Q8TIS9	P45741	P45741::RAW::RHEA:17697::1	A5GN71	Q97UA0	Q97UA0::RAW::RHEA:35807::1	0.9358269542455674	0.3787225107803489	0.23668538906143413	0.22909136849899336	0.0029999911785125732	0.03871339559555054	0	0	0	0	0	0
59	population	O14115	P47075	P47075::RAW::RHEA-COMP:14280::1	Q1H4S0	Q0QLF4	Q0QLF4::RAW::RHEA:12236::1	0.9159060574713208	0.33972513427337014	0.23777070402954117	0.2321775559811504	0.07400000095367432	0.04966557025909424	0	0	0	0	0	0
60	population	Q2U6D4	P27431	P27431::RAW::RHEA-COMP:10074::1	B8GNE2	P52788	P52788::RAW::RHEA:19973::1	0.9351333699943054	0.4590272530299294	0.23829377078003666	0.23309479364678065	0.0949999988079071	0.0009264349937438965	0	0	0	0	0	0
61	population	C4L690	P53555	P53555::RAW::RHEA:26329::1	A9L991	Q13946	Q13946::RAW::RHEA:25277::1	0.8801229860633611	0.35559688919247723	0.24746463364742619	0.23315782461341336	0.08400002121925354	0.09241634607315063	0	0	0	0	0	0
62	population	Q6CIC9	O32085	O32085::RAW::RHEA:20441::1	B2THK9	Q6PQK2	Q6PQK2::RAW::RHEA:31367::1	0.927161652308244	0.3821737196880813	0.24934117928831825	0.23575880356495652	0.06000000238418579	0.08218377828598022	0	0	0	0	0	0
63	population	B7HFB5	P27487	P27487::RAW::3.4.14.5::1	B5EXZ5	P80561	P80561::RAW::3.4.11.24::1	0.8364662766456604	0.4673140395344013	0.25171472399521483	0.23598512756197068	0.025000005960464478	0.03509318828582764	0	0	0	0	0	0
64	population	B5ED19	P53555	P53555::RAW::RHEA:26329::1	B4U6K0	O85465	O85465::RAW::3.2.1.4::1	0.8835801923026642	0.3135624057732713	0.2527300110123225	0.23617253763063228	0.04100000858306885	0.005278110504150391	0	0	0	0	0	0
65	population	Q9M9W3	Q8A6L0	Q8A6L0::RAW::3.2.1.22::1	B2VEK5	Q8DPI6	Q8DPI6::RAW::RHEA:18997::1	0.905319703925474	0.47369324707258964	0.2544467834536912	0.23733235185207754	0.10600000619888306	0.004449963569641113	0	0	0	0	0	0
66	population	B8D9C1	G1UBD1	G1UBD1::RAW::RHEA:30355::1	B7MHZ9	O67883	O67883::RAW::RHEA:15913::1	0.931593686253542	0.36388327429691947	0.25568063299754146	0.23776758328504222	0.020999997854232788	0.12768930196762085	0	0	0	0	0	0
67	population	A9R5Q1	B5CY96	B5CY96::RAW::3.2.1.178::1	Q97WI2	Q88H32	Q88H32::RAW::RHEA:24368::1	0.8736524945407202	0.3898271584883332	0.2559276357277043	0.23859436568012332	0.034999996423721313	0.07917869091033936	0	0	0	0	0	0
68	population	A0QHG8	P18644	P18644::RAW::RHEA-COMP:10409::1	Q0A8Y4	P21642	P21642::RAW::RHEA:10388::1	0.9226101084779471	0.46079855205602627	0.25656520562095436	0.23860142243414767	0.04900000989437103	0.020705461502075195	0	0	0	0	0	0
69	population	O35405	P23542	P23542::RAW::RHEA:21824::1	Q5PFD6	Q97YM2	Q97YM2::RAW::RHEA:21892::1	0.8308957367836952	0.29710871084392365	0.25869037641830545	0.23947943719236647	0.02400001883506775	0.017696142196655273	0	0	0	0	0	0
70	population	Q63679	P46952	P46952::RAW::RHEA:17953::1	Q83GA1	O28608	O28608::RAW::RHEA:18405::1	0.9466937634916532	0.3660259318227569	0.26025368316393727	0.2417930257433509	0.07600000500679016	0.008313238620758057	0	0	0	0	0	0
71	population	Q3YZ76	Q92794	Q92794::RAW::RHEA-COMP:10731::1	Q02JZ8	Q9V6K1	Q9V6K1::RAW::3.4.14.10::1	0.8875685604910055	0.30875776817974376	0.2610526300103205	0.2427069348922036	0.046999990940093994	0.058354318141937256	0	0	0	0	0	0
72	population	A6V8P9	P9WNV3	P9WNV3::RAW::6.5.1.1::1	P18669	P32143	P32143::RAW::RHEA:40443::1	0.8866019695997238	0.35787726169786394	0.262278524899236	0.24374625230786762	0.052999988198280334	0.05362826585769653	0	0	0	0	0	0
73	population	B1JIK4	O34714	O34714::RAW::RHEA:16509::1	Q8FH06	P00497	P00497::RAW::RHEA:14905::1	0.8558246620986452	0.4891564055035512	0.26320993437363005	0.24376484964262848	0.023000016808509827	0.003272533416748047	0	0	0	0	0	0
74	population	Q3B532	P23542	P23542::RAW::RHEA:21824::1	Q321N2	P00497	P00497::RAW::RHEA:14905::1	0.9243054017424583	0.4842715048541626	0.26403734268564805	0.24383258094560684	0.03300000727176666	0.018466472625732422	0	0	0	0	0	0
75	population	O82312	C7AJA4	C7AJA4::RAW::RHEA-COMP:14527::1	Q8NSC4	Q9SLN8	Q9SLN8::RAW::RHEA:13737::1	0.9454990285670474	0.4223497657933169	0.2653752432118223	0.24432997671272846	0.06300000846385956	0.004469633102416992	1	0	0	0	0	0
76	population	B4SRZ0	Q99707	Q99707::RAW::RHEA:11172::1	Q3KDW0	Q9C1S9	Q9C1S9::RAW::3.2.1.91::1	0.923953901976347	0.4318544063717127	0.2665398068742149	0.24447826499522557	0.0029999911785125732	0.03293877840042114	0	0	0	0	0	0
77	population	A1TZ35	Q56185	Q56185::RAW::RHEA:10808::1	Q6AW46	Q9L9D7	Q9L9D7::RAW::RHEA:27506::1	0.8516601771559744	0.4366541882267311	0.2675002782841768	0.24666142233260707	0.022000014781951904	0.01955503225326538	0	1	0	0	0	0
78	population	Q6HKG3	O95571	O95571::RAW::RHEA:12981::1	B2VDJ8	Q8TD30	Q8TD30::RAW::RHEA:19453::1	0.8420851370319724	0.49442550428211696	0.27032352616293337	0.2467675906784453	0.04800000786781311	0.014394283294677734	0	0	0	0	0	0
79	population	A4HYT9	P45850	P45850::RAW::RHEA:21880::1	Q88YZ2	Q46389	Q46389::RAW::RHEA-COMP:11110::1	0.9071578286900037	0.49447680701272756	0.27591272072226114	0.24937369775196885	0.0020000040531158447	0.0055620670318603516	0	0	0	0	0	0
80	population	Q59I44	Q57913	Q57913::RAW::RHEA:85483::1	P78599	Q8U8Z6	Q8U8Z6::RAW::RHEA:23660::1	0.8966223843013629	0.42703861189074815	0.27605233703462834	0.24951147123698353	0.05499999225139618	0.09651237726211548	0	0	0	0	0	0
81	population	B5EJF3	Q6BF16	Q6BF16::RAW::RHEA:24464::1	Q9UQW9	Q9NRF8	Q9NRF8::RAW::RHEA:26426::1	0.8720864433617819	0.3949836027503525	0.2772142100097808	0.2506361103631216	0.02899998426437378	0.052052974700927734	0	0	0	0	0	0
82	population	Q8BGF7	D0E8I5	D0E8I5::RAW::RHEA:41444::1	Q5FUR8	P12256	P12256::RAW::RHEA:18693::1	0.8721686078856389	0.48332532619436586	0.2812157110094039	0.2514167212106431	0.004999995231628418	0.14763331413269043	0	0	0	0	0	0
83	population	Q74ZZ1	Q5HNV1	Q5HNV1::RAW::RHEA:17737::1	A4SF04	Q9HX69	Q9HX69::RAW::RHEA:24902::1	0.9270437855758712	0.46863794730355346	0.28606116973813306	0.25310287280157234	0.0009999871253967285	0.015513420104980469	1	0	1	0	1	0
84	population	A4TPN0	O00625	O00625::RAW::RHEA:15381::1	P70677	P00751	P00751::RAW::3.4.21.47::1	0.9151040184001128	0.4961186886731801	0.2863699939057873	0.2531428783802743	0.041999995708465576	0.08725398778915405	1	0	0	0	0	0
85	population	Q02W78	P27487	P27487::RAW::3.4.14.5::1	A7GV29	Q2TR58	Q2TR58::RAW::RHEA:20401::1	0.9566862419247627	0.39261498426397645	0.2980031287384192	0.25442430010438205	0.03700000047683716	0.04977560043334961	1	0	0	0	0	0
86	population	C4ZVL1	Q5SK67	Q5SK67::RAW::RHEA:24296::1	A7Z522	Q13630	Q13630::RAW::RHEA:18885::1	0.901198490212361	0.3893460989619295	0.2989414066394151	0.2563657751407444	0.04800000786781311	0.00048482418060302734	0	0	0	0	0	0
87	population	Q4KDX1	Q8T6T2	Q8T6T2::RAW::RHEA:11708::1	C3K9Q0	P27487	P27487::RAW::3.4.14.5::1	0.9035792787869772	0.4543454449357731	0.30012241841950504	0.2577404967009087	0.008000016212463379	0.05061382055282593	0	0	0	0	0	0
88	population	A8M1N0	P16100	P16100::RAW::RHEA:19629::1	C3NMG4	O82415	O82415::RAW::RHEA:14345::1	0.9246350079774857	0.42415651785475866	0.23534549173131356	0.2296524361542359	0.11399999260902405	0.024938583374023438	0	0	0	0	0	0
89	population	Q8I6Z7	B9KDD4	B9KDD4::RAW::2.4.99.19::1	Q83C38	P13080	P13080::RAW::3.2.1.20::1	0.8705458864569664	0.44940287120895	0.2520408226980209	0.23310140993189224	0.05700001120567322	0.03899657726287842	0	0	0	0	0	0
90	population	Q8IWR1	G2Q0E2	G2Q0E2::RAW::2.3.2.27::1	Q5PHC1	Q1Q0T3	Q1Q0T3::RAW::RHEA-COMP:10350::1	0.8540276803768789	0.4360506151062556	0.27468897228939104	0.23530231108708585	0.041999995708465576	0.03326910734176636	1	0	1	0	0	0
91	population	Q58021	Q381M1	Q381M1::RAW::RHEA-COMP:14527::1	C5BSY8	Q4K423	Q4K423::RAW::RHEA:59184::1	0.8557226820275037	0.5007852867054634	0.2850446434714629	0.24149509569283442	0.017000019550323486	0.10401993989944458	1	0	0	0	0	0
92	population	B9J1N0	A0A2U9GGW3	A0A2U9GGW3::RAW::RHEA:56908::1	A9BBW2	D2Z030	D2Z030::RAW::RHEA:36711::1	0.8926219207545122	0.41862682348841596	0.2888660658580161	0.24687937352197176	0.039000004529953	0.1176493763923645	0	0	0	0	0	0
93	population	B3EM22	P0AEC8	P0AEC8::RAW::2.7.13.3::1	Q7VYB9	Q6PQK2	Q6PQK2::RAW::RHEA:31367::1	0.8442028969526291	0.35781274270266294	0.3054341022436209	0.30182978819693407	0.11399999260902405	0.020125091075897217	0	0	0	0	0	0
94	population	Q9ABR0	P00163	P00163::RAW::RHEA-COMP:10350::1	Q28R10	P25984	P25984::RAW::RHEA:21792::1	0.816186173986166	0.4030171963075797	0.30660568629348095	0.30390949008189394	0.12099999189376831	0.026026606559753418	0	0	0	0	0	0
95	population	A6T9W8	P21514	P21514::RAW::RHEA:24902::1	B2V4D4	B2KPR3	B2KPR3::RAW::RHEA:12508::1	0.864914141690884	0.453194251309589	0.306694729424949	0.3067306986287336	0.08900000154972076	0.008746027946472168	0	0	0	0	0	0
96	population	B7VQ39	Q5IW40	Q5IW40::RAW::RHEA:34791::1	Q93PJ4	P11444	P11444::RAW::RHEA:13945::1	0.922330861290296	0.35812093839910225	0.3096556334148779	0.3088675721666902	0.050999999046325684	0.019018888473510742	0	0	0	0	0	0
97	population	Q48KM7	P45850	P45850::RAW::RHEA:21880::1	A6VA73	Q2HJH1	Q2HJH1::RAW::3.4.11.21::1	0.9474269598722458	0.4765151095768762	0.3200016679302202	0.3129947899116926	0.046000003814697266	0.018017828464508057	0	0	0	0	0	0
98	population	B8DCT7	Q9I0N5	Q9I0N5::RAW::RHEA:53776::1	P9WGT0	Q945K2	Q945K2::RAW::RHEA:18313::1	0.8839135310036086	0.438451081790384	0.3204116912509271	0.3147632928459228	0.030999988317489624	0.07357048988342285	0	0	0	0	0	0
99	population	Q5U5R9	Q2HJH1	Q2HJH1::RAW::3.4.11.21::1	Q9I3J8	P23188	P23188::RAW::3.4.21.75::1	0.8929794877767563	0.4667195762962192	0.32216346745505975	0.3156164241273957	0.034000009298324585	0.008782267570495605	0	0	0	0	0	0
100	population	Q44056	Q6PQK2	Q6PQK2::RAW::RHEA:31367::1	Q2JUM6	Q15120	Q15120::RAW::RHEA-COMP:13689::1	0.8765693406263987	0.4906912959710348	0.32259346433664177	0.31763894518437674	0.08399999141693115	0.012694835662841797	0	0	0	0	0	0
